All installed programs list generated by choco-package-list-backup on 2022-02-15.


DisplayName                                                                   DisplayVersion      Publisher                                          
Integration Services                                                          15.0.2000.118       Microsoft Corporation                              
Windows Desktop Extension SDK                                                 10.1.19041.685      Microsoft Corporation                              
Microsoft .NET Core Host FX Resolver - 3.1.22 (x86)                           24.88.30721         Microsoft Corporation                              
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30708                   14.30.30708         Microsoft Corporation                              
                                                                                                                                                     
                                                                                                                                                     
vs_cuitcommoncoremsi16                                                        16.5.29521          Microsoft Corporation                              
Microsoft .NET Core Host - 3.1.22 (x86)                                       24.88.30721         Microsoft Corporation                              
Lexmark Printer Driver Configuration Utility                                  3.7.0.0             Lexmark International, Inc.                        
Microsoft .NET Core Runtime - 3.1.21 (x86)                                    24.84.30622         Microsoft Corporation                              
McAfee Data Exchange Layer for MA                                             6.0.3.441           McAfee LLC                                         
Windows SDK AddOn                                                             10.1.0.0            Microsoft Corporation                              
Intel Software Package                                                        8.7.10600.20700     Intel                                              
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660                    12.0.40660          Microsoft Corporation                              
Markdown Monster 2.3.12.0                                                     2.3.12.0            West Wind Technologies                             
vs_Graphics_Singletonx86                                                      16.10.31213         Microsoft Corporation                              
                                                                                                                                                     
Microsoft ASP.NET Core 5.0.13 Shared Framework (x86)                          5.0.13.21572        Microsoft Corporation                              
Kits Configuration Installer                                                  10.1.19041.685      Microsoft                                          
vs_cuitextensionmsi17_x64                                                     17.1.32112          Microsoft Corporation                              
vs_cuitextensionmsi17                                                         17.1.32113          Microsoft Corporation                              
Microsoft Visual Studio Setup WMI Provider                                    3.1.1126.51066      Microsoft Corporation                              
Papercut                                                                      1.0.633             Changemaker Studios                                
Dell SupportAssist OS Recovery Plugin for Dell Update                         5.4.1.14954         Dell Inc.                                          
vs_cuitextensionmsi16_x64                                                     16.0.28329          Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 3.1.22 (x86)                              24.88.30721         Microsoft Corporation                              
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30708            14.30.30708.0       Microsoft Corporation                              
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660                  12.0.40660.0        Microsoft Corporation                              
Realtek Audio Driver                                                          6.0.9147.1          Realtek Semiconductor Corp.                        
Microsoft ASP.NET Core 3.1.21 Shared Framework (x86)                          3.1.21.21523        Microsoft Corporation                              
icecap_collectionresourcesx64                                                 17.1.32113          Microsoft Corporation                              
Microsoft .NET Framework 4.7.2 SDK                                            4.7.03081           Microsoft Corporation                              
Microsoft ASP.NET Core 6.0.1 Shared Framework (x86)                           6.0.1.21567         Microsoft Corporation                              
Microsoft .NET Runtime - 5.0.13 (x86)                                         40.52.30715         Microsoft Corporation                              
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501                  12.0.30501.0        Microsoft Corporation                              
Entity Framework 6.2.0 Tools  for Visual Studio 2019                          6.2.0.0             Microsoft Corporation                              
Microsoft Visual Studio Tools for Applications 2017                           15.0.27520          Microsoft Corporation                              
Windows SDK Desktop Tools x64                                                 10.1.19041.685      Microsoft Corporation                              
ViewSonic Windows 10 64bit Signed Files                                                                                                              
Windows SDK Modern Versioned Developer Tools                                  10.1.19041.685      Microsoft Corporation                              
SDK ARM Additions                                                             10.1.19041.685      Microsoft Corporation                              
Microsoft Windows Communication Foundation Diagnostic Pack for x86            16.0.28329          Microsoft                                          
vs_minshellsharedmsi                                                          17.1.32113          Microsoft Corporation                              
WinRT Intellisense PPI - Other Languages                                      10.1.19041.685      Microsoft Corporation                              
Windows SDK for Windows Store Managed Apps Libs                               10.1.19041.685      Microsoft Corporation                              


